"","x"
"1",281.130004882812
"2",284
"3",279.266662597656
"4",286.246673583984
"5",285
"6",278.103332519531
"7",285
"8",297.126678466797
"9",290.116668701172
"10",273.333343505859
"11",276.666656494141
"12",271.429992675781
"13",281.559997558594
"14",292.339996337891
"15",285
"16",281.666656494141
"17",289.890014648438
"18",285.040008544922
"19",281.213317871094
"20",270.813323974609
"21",267.086669921875
"22",272.666656494141
"23",259.696655273438
"24",260.299987792969
"25",265
"26",254.213333129883
"27",220.710006713867
"28",237.283340454102
"29",242.050003051758
"30",233.33332824707
"31",230.036666870117
"32",239.426666259766
"33",229.330001831055
"34",218.600006103516
"35",208.686660766602
"36",200.183334350586
"37",202.726669311523
"38",233.433334350586
"39",233.133331298828
"40",223.33332824707
"41",231.363327026367
"42",234.449996948242
"43",218.956665039062
"44",228.096664428711
"45",215.533340454102
"46",228.196670532227
"47",225.25666809082
"48",222.636672973633
"49",204.33332824707
"50",213.956665039062
"51",205.213333129883
"52",200.58332824707
"53",215.539993286133
"54",229.456665039062
"55",235.903335571289
"56",230.100006103516
"57",229
"58",225.793334960938
"59",225.92333984375
"60",228.566665649414
"61",237.566665649414
"62",256.899993896484
"63",247.699996948242
"64",242.883331298828
"65",239.866668701172
"66",239.139999389648
"67",234.92333984375
"68",247.16667175293
"69",239.933334350586
"70",247
"71",239.320007324219
"72",232.136672973633
"73",233.169998168945
"74",222.529998779297
"75",234.600006103516
"76",226.313339233398
"77",227.020004272461
"78",226.919998168945
"79",221.933334350586
"80",221.633331298828
"81",199.746673583984
"82",200.830001831055
"83",200.513336181641
"84",194.470001220703
"85",191.850006103516
"86",189.33332824707
"87",184.183334350586
"88",191.66667175293
"89",198.703338623047
"90",193.866668701172
"91",202.436660766602
"92",202.520004272461
"93",206.746673583984
"94",209.5
"95",209.266662597656
"96",206.710006713867
"97",200.600006103516
"98",193.236663818359
"99",197.276672363281
"100",207.669998168945
"101",200.723327636719
"102",201.293334960938
"103",203.410003662109
"104",204.07666015625
"105",205.563339233398
"106",199.179992675781
"107",200.630004882812
"108",204.456665039062
"109",208.160003662109
"110",206.08332824707
"111",210.66667175293
"112",224.996673583984
"113",229.860000610352
"114",223.880004882812
"115",228.216659545898
"116",226.589996337891
"117",227.973327636719
"118",226.32666015625
"119",227.236663818359
"120",221.42333984375
"121",209.456665039062
"122",217.726669311523
"123",220.733337402344
"124",228.773330688477
"125",223.58332824707
"126",219.463333129883
"127",218.226669311523
"128",209.963333129883
"129",217.330001831055
"130",219.869995117188
"131",218.813339233398
"132",215.453338623047
"133",216.990005493164
"134",221.133331298828
"135",215.66667175293
"136",216.596664428711
"137",223.919998168945
"138",233.33332824707
"139",239.66667175293
"140",237
"141",238.66667175293
"142",237.300003051758
"143",236.723327636719
"144",237.996673583984
"145",237.570007324219
"146",235.446670532227
"147",241.236663818359
"148",235.023330688477
"149",224.220001220703
"150",223.25
"151",226.070007324219
"152",227.616668701172
"153",228.479995727539
"154",236.893325805664
"155",235.676666259766
"156",236.103332519531
"157",235
"158",238.240005493164
"159",244.33332824707
"160",244.693328857422
"161",244.83332824707
"162",244.08332824707
"163",246.66667175293
"164",253.860000610352
"165",251.136672973633
"166",253.199996948242
"167",246.736663818359
"168",247.523330688477
"169",248.33332824707
"170",250.943328857422
"171",252.383331298828
"172",244.853332519531
"173",244.929992675781
"174",247.843338012695
"175",251.66667175293
"176",248.630004882812
"177",257.706665039062
"178",262.399993896484
"179",259.933319091797
"180",260.333343505859
"181",259.466674804688
"182",265.5
"183",261.600006103516
"184",258.733337402344
"185",261.820007324219
"186",265.4033203125
"187",262.549987792969
"188",266.976654052734
"189",270.156677246094
"190",271.829986572266
"191",274.579986572266
"192",283.929992675781
"193",292.510009765625
"194",288.450012207031
"195",285.333343505859
"196",298.5
"197",316.843322753906
"198",341.563323974609
"199",346.553344726562
"200",356.103332519531
"201",360.619995117188
"202",381.666656494141
"203",386.453338623047
"204",392.443328857422
"205",411.470001220703
"206",409.333343505859
"207",383.263336181641
"208",391.200012207031
"209",336.803344726562
"210",367.589996337891
"211",349.166656494141
"212",339.209991455078
"213",334.436676025391
"214",354.503326416016
"215",368.850006103516
"216",366.290008544922
"217",387.443328857422
"218",389.170013427734
"219",360.130004882812
"220",366.489990234375
"221",366.996673583984
"222",381.456665039062
"223",386.899993896484
"224",366.353332519531
"225",361.5966796875
"226",333.836669921875
"227",348.066680908203
"228",350.9033203125
"229",353.546661376953
"230",336.25
"231",333.696655273438
"232",315
"233",317.736663818359
"234",331.5
"235",304.92333984375
"236",303.566680908203
"237",305.623321533203
"238",321.886657714844
"239",335.600006103516
"240",357.890014648438
"241",369.829986572266
"242",366.213317871094
"243",353.776672363281
"244",357.813323974609
"245",382.583343505859
"246",396.516662597656
"247",382.216674804688
"248",359
"249",360.123321533203
"250",333.333343505859
"251",351.223327636719
"252",359.616668701172
"253",369.690002441406
"254",339.959991455078
"255",342.203338623047
"256",347.236663818359
"257",336.57666015625
"258",332.113342285156
"259",301.586669921875
"260",304.733337402344
"261",317.476654052734
"262",311.119995117188
"263",277.186676025391
"264",290.9033203125
"265",311.736663818359
"266",309.393341064453
"267",294
"268",299.073333740234
"269",307.929992675781
"270",301.843322753906
"271",311.666656494141
"272",302.790008544922
"273",303.209991455078
"274",287.190002441406
"275",300
"276",304.683319091797
"277",304.420013427734
"278",295.333343505859
"279",278.043334960938
"280",276.809997558594
"281",233.463333129883
"282",269.743347167969
"283",271.670013427734
"284",289.893341064453
"285",290.709991455078
"286",292.92333984375
"287",283.033325195312
"288",285.433319091797
"289",265.176666259766
"290",279.82666015625
"291",283.816680908203
"292",280.066680908203
"293",260.203338623047
"294",258.42333984375
"295",269.666656494141
"296",276.996673583984
"297",291.496673583984
"298",304.993347167969
"299",310
"300",326.646667480469
"301",336.57666015625
"302",336
"303",355.033325195312
"304",369.329986572266
"305",363.723327636719
"306",364.856658935547
"307",360.383331298828
"308",363.126678466797
"309",378.766662597656
"310",357.823333740234
"311",350.796661376953
"312",347.736663818359
"313",326.799987792969
"314",332.546661376953
"315",327.026672363281
"316",333.0966796875
"317",329.676666259766
"318",335.019989013672
"319",343.333343505859
"320",358.243347167969
"321",338.303344726562
"322",326.323333740234
"323",331.809997558594
"324",299.526672363281
"325",299.993347167969
"326",300.75
"327",286.92333984375
"328",301.059997558594
"329",301.313323974609
"330",313.006652832031
"331",295.666656494141
"332",278.816680908203
"333",273.103332519531
"334",265
"335",233.66667175293
"336",257.82666015625
"337",255.720001220703
"338",249.119995117188
"339",248.17333984375
"340",235.66667175293
"341",237.996673583984
"342",218.339996337891
"343",217.843338012695
"344",207.949996948242
"345",220.473327636719
"346",241.08332824707
"347",257.946655273438
"348",251.720001220703
"349",244.156661987305
"350",243.226669311523
"351",244.353332519531
"352",234
"353",240.086669921875
"354",249.339996337891
"355",235.156661987305
"356",223.16667175293
"357",218.286666870117
"358",220.91667175293
"359",222.736663818359
"360",213.433334350586
"361",224.603332519531
"362",234.503326416016
"363",237.906661987305
"364",237.470001220703
"365",249.366668701172
"366",244.483337402344
"367",230.5
"368",224.509994506836
"369",227
"370",223
"371",230.779998779297
"372",233.919998168945
"373",242.33332824707
"374",252.103332519531
"375",236.846664428711
"376",225.5
"377",234.896667480469
"378",240
"379",244.936660766602
"380",245
"381",246.783340454102
"382",255.106674194336
"383",276.220001220703
"384",272.216674804688
"385",266.513336181641
"386",263.809997558594
"387",280.066680908203
"388",280.700012207031
"389",301.276672363281
"390",294.003326416016
"391",305
"392",311
"393",302.670013427734
"394",295
"395",290.293334960938
"396",297.066680908203
"397",296.513336181641
"398",289.416656494141
"399",301.786682128906
"400",311.666656494141
"401",303.396667480469
